word,M1,WN3.0,WN1.6,note
acerbus,"harsh to the taste, harsh, unripe",02368787-a,,
acerbus,"harsh to the taste, harsh, unripe",01493897-a,,
acerbus,"harsh to the taste, harsh, unripe",02396098-s,,
acerbus,"(of people) rough, violent",01263013-s,,
acerbus,"(of people) rough, violent",01374183-s,,
acerbus,"(of things) heavy, sad, bitter",01712940-s,01650376-a,
adsumo,take to oneself ,02346724-v,,
adsumo,take to oneself ,00524682-v,,
adsumo,receive ,02210855-v,,
ancilla,"maidservant, handmaid, female slave",10159186-n,,
ancilla,someone servilely devoted to anything,13952171-n,,
beatus,blessed,01451768-s,,added from Princeton WN
beatus,blessed,02054075-s,,added from Princeton WN
beatus,rich,00014490-s,,added from Princeton WN
beatus,rich,02021905-a,,added from Princeton WN
beatus,fortunate,01047874-a,,
beatus,happy,01148283-a,,
beatus,rewarded,00705336-s,,
ciuitas,"the condition or privileges of a (Roman) citizen, citizenship",13953467-n,,
ciuitas,the citizens united in a community,08168978-n,,
ciuitas,the citizens united in a community,08178547-n,,
ciuitas,a city,08524735-n,,
ciuitas,Rome,08806897-n,06463696-n,
cohors,"A place enclosed around, a court, enclosure",04610879-n,,
cohors,"A place enclosed around, a court, enclosure",04610503-n,,
cohors,"A place enclosed around, a court, enclosure",03526062-n,,
cohors,"A place enclosed around, a court, enclosure",08684294-n,,
cohors,"a company of soldiers, a division of an army, a cohort,",08274354-n,,
cohors,"a company of soldiers, a division of an army, a cohort,",08251104-n,,
cohors,"a company of soldiers, a division of an army, a cohort,",08190754-n,,
cohors,"a crowd, multitude, company, throng, attendants",08183290-n,,
cohors,"a crowd, multitude, company, throng, attendants",08182379-n,,
cohors,"a crowd, multitude, company, throng, attendants",08184861-n,,
cohors,"a crowd, multitude, company, throng, attendants",08251213-n,,
cohors,imperial court,08329322-n,,
consilium,"A conclusion made with consideration, a determination, resolution, measure, plan, purpose, intention",05982152-n,,
consilium,"A conclusion made with consideration, a determination, resolution, measure, plan, purpose, intention",06671484-n,,
consilium,"A conclusion made with consideration, a determination, resolution, measure, plan, purpose, intention",05901508-n,,
consilium,"A conclusion made with consideration, a determination, resolution, measure, plan, purpose, intention",00162632-n,,
consilium,"A conclusion made with consideration, a determination, resolution, measure, plan, purpose, intention",05838176-n,,
