author	authorLabel
http://www.wikidata.org/entity/Q4182860	Q4182860
http://www.wikidata.org/entity/Q85511849	Abbaudus Abbot
http://www.wikidata.org/entity/Q2622892	Abbo Cernuus
http://www.wikidata.org/entity/Q306658	Abbo of Fleury
http://www.wikidata.org/entity/Q137934	Abbot Suger
http://www.wikidata.org/entity/Q85511854	Absalon of Springiersbach
http://www.wikidata.org/entity/Q2822993	Achard of Saint-Victor
http://www.wikidata.org/entity/Q348198	Adalard of Corbie
http://www.wikidata.org/entity/Q347198	Adalberon
http://www.wikidata.org/entity/Q347218	Adalberon
http://www.wikidata.org/entity/Q347454	Adalbert of Mainz
http://www.wikidata.org/entity/Q85511864	Adalbert of Metz
http://www.wikidata.org/entity/Q348087	Adalbertus Samaritanus
http://www.wikidata.org/entity/Q353058	Adalbold II of Utrecht
http://www.wikidata.org/entity/Q85511869	Adalger of Augsburg
http://www.wikidata.org/entity/Q348148	Adalgod von Osterburg
http://www.wikidata.org/entity/Q109244	Adam of Bremen
http://www.wikidata.org/entity/Q2613779	Adam of Dryburgh
http://www.wikidata.org/entity/Q1750555	Adam of Perseigne
http://www.wikidata.org/entity/Q312372	Adelard of Bath
http://www.wikidata.org/entity/Q359951	Ado of Vienne
http://www.wikidata.org/entity/Q120132	Adomnán
http://www.wikidata.org/entity/Q378549	Adso of Montier-en-Der
http://www.wikidata.org/entity/Q379829	Adventius
http://www.wikidata.org/entity/Q247137	Aelius Donatus
http://www.wikidata.org/entity/Q1451726	Aelius Festus Aphthonius
http://www.wikidata.org/entity/Q8797	Aemilius Macer
http://www.wikidata.org/entity/Q4531640	Aemilius Sura
http://www.wikidata.org/entity/Q225857	Aethicus Ister
http://www.wikidata.org/entity/Q3606217	Afonso Alvares Guerreiro
http://www.wikidata.org/entity/Q1454878	Aggenus Urbicus
http://www.wikidata.org/entity/Q517095	Agnellus
http://www.wikidata.org/entity/Q395689	Agostino Nifo
http://www.wikidata.org/entity/Q518973	Agroecius
http://www.wikidata.org/entity/Q3607110	Ailerán
http://www.wikidata.org/entity/Q1283657	Aimoin
http://www.wikidata.org/entity/Q3607123	Aimoin of Saint-Germain-des-Prés
http://www.wikidata.org/entity/Q85511874	Aimon of Saint-Pierre-sur-Dives
http://www.wikidata.org/entity/Q982038	Alain Chartier
http://www.wikidata.org/entity/Q4313	Alain de Lille
http://www.wikidata.org/entity/Q2012329	Alain, Bishop of Auxerre
http://www.wikidata.org/entity/Q4708139	Alan of Tewkesbury
http://www.wikidata.org/entity/Q964903	Alberic of Monte Cassino
http://www.wikidata.org/entity/Q548981	Alberic of Trois-Fontaines
http://www.wikidata.org/entity/Q4323	Albert of Aix
http://www.wikidata.org/entity/Q2831705	Albertanus of Brescia
http://www.wikidata.org/entity/Q85511898	Albuinus Eremita
http://www.wikidata.org/entity/Q4713134	Alcimus Alethius
http://www.wikidata.org/entity/Q154332	Alcuin
http://www.wikidata.org/entity/Q709718	Aldhelm
http://www.wikidata.org/entity/Q85511905	Aldricus of Sens
http://www.wikidata.org/entity/Q4718389	Alexander Bonini
http://www.wikidata.org/entity/Q85511910	Alexander of Jumièges
http://www.wikidata.org/entity/Q10882562	Alexander of Roes
http://www.wikidata.org/entity/Q283387	Alfanus I
http://www.wikidata.org/entity/Q1241376	Alfenus Varus
http://www.wikidata.org/entity/Q2834858	Alfonso Clemente de Aróstegui
http://www.wikidata.org/entity/Q28761	Alfred of Sareshel
http://www.wikidata.org/entity/Q46592455	Alulphe of Tournai
http://www.wikidata.org/entity/Q669044	Amafinius
http://www.wikidata.org/entity/Q452681	Amalarius of Metz
http://www.wikidata.org/entity/Q43689	Ambrose
http://www.wikidata.org/entity/Q689146	Ambrosiaster
http://www.wikidata.org/entity/Q172198	Ammianus Marcellinus
http://www.wikidata.org/entity/Q85511927	Anamodus of Ratisbon
http://www.wikidata.org/entity/Q134682	Anastasius I
http://www.wikidata.org/entity/Q5925848	Anders Carlsson af Kullberg
http://www.wikidata.org/entity/Q3615780	Andrea Guarna
http://www.wikidata.org/entity/Q16268126	Andrea di Strumi
http://www.wikidata.org/entity/Q4340	Andreas Capellanus
http://www.wikidata.org/entity/Q2696078	Andreas of Bergamo
http://www.wikidata.org/entity/Q2638879	Andrey Rymsha
http://www.wikidata.org/entity/Q3299494	Andronicus Callistus
http://www.wikidata.org/entity/Q537595	Angelo da Clareno
http://www.wikidata.org/entity/Q3617330	Angelrannus of Saint-Riquier
http://www.wikidata.org/entity/Q539434	Angilbert
http://www.wikidata.org/entity/Q85511970	Angilbertus of Corbie
http://www.wikidata.org/entity/Q539422	Angilram of Metz
